City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,Saint-Augustin,51.226,-58.6502,36.81,81,99,14.29,CA,2021-01-09 03:19:23
93,Crateus,-5.1783,-40.6775,77.29,66,81,5.21,BR,2021-01-09 03:19:23
94,Reconquista,-29.15,-59.65,78.48,39,0,7.94,AR,2021-01-09 03:17:28
95,Faya,18.3851,42.4509,48.2,66,0,2.46,SA,2021-01-09 03:19:24
96,East London,-33.0153,27.9116,71.6,94,20,3.44,ZA,2021-01-09 03:16:34
97,Talnakh,69.4865,88.3972,-13.88,87,99,7.63,RU,2021-01-09 03:19:24
98,Sitka,57.0531,-135.33,37.4,93,90,6.91,US,2021-01-09 03:19:24
99,Arraial Do Cabo,-22.9661,-42.0278,76.75,90,82,2.57,BR,2021-01-09 03:19:24
100,Naze,28.3667,129.4833,53.6,58,40,16.11,JP,2021-01-09 03:19:25
101,Vanimo,-2.6741,141.3028,86.7,64,84,4.09,PG,2021-01-09 03:19:25
102,Lagoa,39.05,-27.9833,56.1,62,96,8.79,PT,2021-01-09 03:19:25
103,Snasa,64.2457,12.3778,16.59,92,82,4.18,NO,2021-01-09 03:19:25
104,Comodoro Rivadavia,-45.8667,-67.5,66.2,37,0,13.8,AR,2021-01-09 03:15:02
105,San Lawrenz,36.0553,14.204,66.2,68,20,9.22,MT,2021-01-09 03:19:26
106,Batagay-Alyta,67.8006,130.4114,-18.13,85,100,4.05,RU,2021-01-09 03:19:26
107,Nanortalik,60.1432,-45.2371,33.15,91,100,11.72,GL,2021-01-09 03:19:26
108,Damghan,36.1683,54.348,28.96,83,0,0.87,IR,2021-01-09 03:19:26
109,Bambous Virieux,-20.3428,57.7575,78.8,83,40,12.66,MU,2021-01-09 03:19:27
110,Mosquera,4.7059,-74.2302,53.6,82,75,3.44,CO,2021-01-09 03:19:27
111,Srandakan,-7.9386,110.2506,85.12,70,98,5.39,ID,2021-01-09 03:19:27
112,Surt,31.2089,16.5887,68.52,44,5,12.55,LY,2021-01-09 03:19:27
113,Mana,5.6592,-53.7767,76.53,86,99,10.27,GF,2021-01-09 03:19:27
114,Marsh Harbour,26.5412,-77.0636,72.81,69,71,20.15,BS,2021-01-09 03:19:28
115,Saskylakh,71.9167,114.0833,-10.77,89,100,10.16,RU,2021-01-09 03:19:28
116,Aliquippa,40.6367,-80.2401,28.99,74,90,9.22,US,2021-01-09 03:19:28
117,Peniche,39.3558,-9.3811,42.01,68,0,1.99,PT,2021-01-09 03:19:28
118,Campbellsville,37.3434,-85.3419,33.01,80,90,6.91,US,2021-01-09 03:19:28
119,Longyearbyen,78.2186,15.6401,23.0,68,75,16.11,SJ,2021-01-09 03:19:29
120,Opuwo,-18.0607,13.84,67.62,67,100,1.28,NA,2021-01-09 03:19:29
121,Haines Junction,60.7522,-137.5108,19.4,93,98,1.14,CA,2021-01-09 03:19:29
122,Mumford,5.2618,-0.759,78.76,87,100,10.18,GH,2021-01-09 03:19:29
123,Rocha,-34.4833,-54.3333,60.1,91,0,3.71,UY,2021-01-09 03:19:30
124,Rebrikha,53.0733,82.3408,-19.3,86,87,8.68,RU,2021-01-09 03:19:30
125,Santa Cruz De Tenerife,28.4682,-16.2546,60.01,93,75,18.41,ES,2021-01-09 03:19:30
126,Sarny,51.338,26.6019,27.5,96,96,5.99,UA,2021-01-09 03:19:30
127,Traverse City,44.7631,-85.6206,26.6,63,1,5.75,US,2021-01-09 03:19:30
128,New Norfolk,-42.7826,147.0587,80.01,20,30,5.01,AU,2021-01-09 03:19:30
129,Birjand,32.8663,59.2211,14.0,29,0,6.91,IR,2021-01-09 03:19:31
130,Vigeland,58.0844,7.305,25.0,70,37,1.99,NO,2021-01-09 03:19:31
131,Chuy,-33.6971,-53.4616,64.27,81,0,5.39,UY,2021-01-09 03:16:45
132,Jining,35.405,116.5814,30.2,60,0,6.49,CN,2021-01-09 03:16:12
133,Hunchun,42.8675,130.3581,5.0,69,17,13.13,CN,2021-01-09 03:19:31
134,Javornik,50.3908,17.0027,28.99,74,85,4.47,CZ,2021-01-09 03:19:32
135,Taldan,53.6667,124.8,-0.27,80,63,10.69,RU,2021-01-09 03:19:32
136,Komsomolskiy,40.4272,71.7189,21.2,73,75,4.61,UZ,2021-01-09 03:19:32
137,Bilma,18.6853,12.9164,68.65,23,0,10.13,NE,2021-01-09 03:19:32
138,Rio Gallegos,-51.6226,-69.2181,55.4,54,0,6.91,AR,2021-01-09 03:19:32
139,Ilo,-17.6394,-71.3375,70.45,79,45,5.64,PE,2021-01-09 03:17:02
140,Martapura,-3.4167,114.85,82.4,89,40,4.61,ID,2021-01-09 03:19:33
141,Fortuna,40.5982,-124.1573,44.6,100,1,6.91,US,2021-01-09 03:19:33
142,Wichita Falls,33.9137,-98.4934,37.4,81,1,5.28,US,2021-01-09 03:17:23
143,Mahebourg,-20.4081,57.7,78.8,83,40,12.66,MU,2021-01-09 03:19:34
144,Barrow,71.2906,-156.7887,-4.0,77,75,6.91,US,2021-01-09 03:18:18
145,Provideniya,64.3833,-173.3,-6.74,83,89,6.44,RU,2021-01-09 03:19:34
146,Mineros,-17.1167,-63.2333,77.0,83,50,8.05,BO,2021-01-09 03:19:34
147,Sola,-13.8833,167.55,87.8,74,75,2.3,VU,2021-01-09 03:19:34
148,Puerto Ayora,-0.7393,-90.3518,73.0,93,62,9.01,EC,2021-01-09 03:19:35
149,Coquimbo,-29.9533,-71.3436,59.0,82,90,4.61,CL,2021-01-09 03:19:35
150,Nouadhibou,20.931,-17.0347,64.4,88,0,10.36,MR,2021-01-09 03:19:35
151,Bengkulu,-3.8004,102.2655,80.51,81,29,12.21,ID,2021-01-09 03:19:35
152,Bantry,51.6833,-9.45,28.4,86,0,11.5,IE,2021-01-09 03:19:36
